bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
a_Anna_Jaskiewicz,Q102368850,,homepages/83/5031,,,,,,,,,,,,,,,83/5031,,
a_Maria_Potop_Butucaru,Q102369182,,homepages/p/MariaPotopButucaru,,,,,,,,,,,,,,,p/MariaPotopButucaru,,Ly9YZ2UAAAAJ
a_Lori_Lorigo,Q102370413,,homepages/91/1926,,,,,,,,,,,,,,,91/1926,,
a_Amjad_Tuffaha,Q102371062,,homepages/55/7140,,,,,,,,,,,,,,,,0000-0001-8468-0688,
a_Michael_Stiglmayr,Q102377676,,homepages/57/3844,,,,,,,,,,,,,,,57/3844,,
a_Shorabuddin_Syed,Q102379308,,homepages/268/0395,,,,,,,,,,,,,,,268/0395,,
a_Swarat_Chaudhuri,Q102382751,,homepages/37/6100,,,,,,,,,,,,,,,37/6100,,
a_Amit_Dvir,Q102388146,,homepages/79/4531,,,,,,,,,,,,,,,79/4531,0000-0002-3670-0784,
a_Martin_M__Mugochi,Q102388564,,homepages/56/9277,,,,,,,,,,,,,,,56/9277,,
a_Alina_Chertock,Q102388911,,homepages/70/792,,,,,,,,,,,,,,,70/792,,
a_Jean_Christophe_Pesquet,Q102390778,,homepages/78/2060,,,,,,,,,,,,,,,,,0E9plnpntdkC
a_Ulrich_Bauer,Q102391613,,homepages/30/1815,,,,,,,,,,,,,,,30/1815,0000-0002-9683-0724,
a_Nicholas_Drivalos_Matragkas,Q102391633,,homepages/95/91,,,,,,,,,,,,,,,95/91,,
a_Roberto_Confalonieri_0001,Q102392029,,homepages/08/6731-1,,,,,,,,,,,,,,,08/6731-1,,
a_Yihong_Wu_0001,Q102396357,,homepages/24/2219-1,,,,,,,,,,,,,,,24/2219-1,,
a_Laurent_Viennot,Q102396542,,homepages/v/LaurentViennot,,,,,,,,,,,,,,,v/LaurentViennot,,
a_Vincent_Acary,Q102397024,,homepages/14/5285,,,,,,,,,,,,,,,14/5285,0000-0002-9782-4051,
a_Hugo_Fuks,Q102397033,,homepages/21/5671,,,,,,,,,,,,,,,21/5671,,
a_Hendrik_De_Bie,Q102399714,,homepages/117/6359,,,,,,,,,,,,,,,117/6359,0000-0003-3806-7836,
a_Max_Klimm,Q102402326,,homepages/56/7413,,,,,,,,,,,,,,,56/7413,,
a_Julie_A__McCann,Q102402939,,homepages/m/JulieAMcCann,,,,,,,,,,,,,,,m/JulieAMcCann,0000-0001-9786-7257,
a_Habib_Marzougui,Q102403086,,homepages/186/2321,,,,,,,,,,,,,,,186/2321,,
a_Graeme_Ritchie,Q102404416,,homepages/03/1863,,,,,,,,,,,,,,,03/1863,,
a_Costas_S__Iliopoulos,Q102407419,,homepages/i/CSIliopoulos,,,,,,,,,,,,,,,i/CSIliopoulos,0000-0003-3909-0077,
a_Andreas_Kugi,Q102409925,,homepages/78/3741,,,,,,,,,,,,,,,78/3741,0000-0001-7995-1690,
a_John_William_Glotzbach,Q102410531,,homepages/85/2017,,,,,,,,,,,,,,,85/2017,,
a_Abderrezak_Guessoum,Q102410610,,homepages/54/6084,,,,,,,,,,,,,,,54/6084,,
a_Andy_Konwinski,Q102411021,,homepages/62/3300,,,,,,,,,,,,,,,62/3300,,
a_Paul_M__Baggenstoss,Q102411706,,homepages/99/6375,,,,,,,,,,,,,,,99/6375,,
a_Thang_Luu_Ba,Q102412489,,homepages/05/8891,,,,,,,,,,,,,,,05/8891,,
a_Jean_Pierre_Gabriel,Q102413310,,homepages/88/3215,,,,,,,,,,,,,,,88/3215,,
a_Wing_Lon_Ng,Q102413941,,homepages/60/8473,,,,,,,,,,,,,,,60/8473,,
a_Walterio_W__Mayol_Cuevas,Q102417584,,homepages/64/3609,,,,,,,,,,,,,,,64/3609,0000-0001-8973-1931,wzdFhjUAAAAJ
a_Apostolos_Syropoulos,Q102421715,,homepages/s/ApostolosSyropoulos,,,,,,,,,,,,,,,s/ApostolosSyropoulos,0000-0002-9625-1482,
a_Samprit_Banerjee,Q102423563,,homepages/49/4296,,,,,,,,,,,,,,,49/4296,,
a_Marsha_Kleinbauer,Q102425160,,homepages/252/6436,,,,,,,,,,,,,,,252/6436,,
a_Collins_Amburo_Agyingi,Q102426656,,homepages/176/2220,,,,,,,,,,,,,,,176/2220,,
a_Patricio_Farrell,Q102427413,,homepages/135/1090,,,,,,,,,,,,,,,135/1090,,
a_Christopher_Kiekintveld,Q102430734,,homepages/95/1694,,,,,,,,,,,,,,,,0000-0003-0615-9584,
a_Geppino_Pucci,Q102431078,,homepages/p/GeppinoPucci,,,,,,,,,,,,,,,p/GeppinoPucci,,
a_Carl_Henrik_Ek,Q102431632,,homepages/79/6273,,,,,,,,,,,,,,,,,9yQ1tQoAAAAJ
a_Beniamino_Accattoli,Q102433746,,homepages/90/7361,,,,,,,,,,,,,,,90/7361,0000-0003-4944-9944,
a_Stratis_Ioannidis,Q102434820,,homepages/42/6940,,,,,,,,,,,,,,,42/6940,,
a_Qiang_Tang_0005,Q102436925,,homepages/17/2212-5,,,,,,,,,,,,,,,,0000-0003-1113-6352,i6oKWhEAAAAJ
a_Amiel_Feinstein,Q102438977,,homepages/26/2025,,,,,,,,,,,,,,,26/2025,,
a_Matt_Earl_Smith,Q102439719,,homepages/120/3163,,,,,,,,,,,,,,,120/3163,,
a_Alan_Ritter,Q102440215,,homepages/47/3133,,,,,,,,,,,,,,,47/3133,,
a_John_C__Miller,Q102440217,,homepages/163/6488,,,,,,,,,,,,,,,163/6488,,
a_Tomas_Veloz,Q102440560,,homepages/51/9126,,,,,,,,,,,,,,,51/9126,0000-0003-3014-8340,
a_Torsten_M_uuml_tze,Q102441611,,homepages/93/8602,,,,,,,,,,,,,,,93/8602,0000-0002-6383-7436,9232pxwAAAAJ
