bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
a_Anja_Feldmann,Q92913,Q105821297,Q105821297,homepages/f/AnjaFeldmann,1,,,,,,,
a_Franz_Lemmermeyer,Q100462,,,homepages/126/6972,1,,,,,,,
a_Klaus_Hasselmann,Q109370,,,homepages/156/3272,1,,,,,,,
a_Kenneth_G__Wilson,Q193503,,,homepages/w/KennethGWilson,1,,,,,,,
a_Ravi_Sethi,Q253960,,,homepages/34/3026,1,1,,,,1,,
a_George_P_oacute_lya,Q296259,,,homepages/90/4807,1,,,,,,,
a_William_P__Thurston,Q333927,,,homepages/73/1835,1,,,,,,,
a_John_W__Tukey,Q382207,,,homepages/20/3301,1,,,,,,,
a_Jean_van_Heijenoort,Q449711,,,homepages/52/1472,1,,,,,,,
a_Trevor_D__Wooley,Q451701,,,homepages/99/9225,1,,,,,,,
a_Philip_Zimmermann,Q455938,,,homepages/47/1862,1,,,,,,,
a_Germund_Dahlquist,Q475614,,,homepages/67/59,1,,,,,,,
a_Andreas_K__Engel,Q498619,Q46524100,,homepages/10/5365,1,,,,,,,
a_Michal_Misiurewicz,Q505532,,,homepages/17/3252,1,,,,,,,
a_Andr_aacute_s_Hajnal,Q515987,,,homepages/50/1046,1,,,,,,,
a_Frances_Kirwan,Q541018,,,homepages/245/1741,1,,,,,,,
a_Mina_Rees,Q541619,,,homepages/20/2591,1,,,,,,,
a_Francisc_Rad_oacute_,Q546076,,,homepages/178/6302,1,,,,,,,
a_Mikio_Sato,Q556143,,,homepages/181/3043,1,,,,,,,
a_Robert_Axelrod,Q583438,,,homepages/75/4331,1,,,,,,,
a_M__H__A__Newman,Q707155,,,homepages/99/2451,1,,,,,,,
a_Arthur_W__Burks,Q711833,,,homepages/80/1244,1,,,,,,,
a_Dorian_Goldfeld,Q726393,,,homepages/08/1788,1,,,,,,,
a_Boris_Dubrovin,Q893614,,,homepages/81/8139,1,,,,,,,
a_Zhi_Wei_Sun,Q896489,,,homepages/84/5684,1,,,,,,,
a_Lars_G_aring_rding,Q924485,,,homepages/199/3398,1,,,,,,,
a_Pierre_L_eacute_vy,Q950635,,,homepages/94/94,1,,,,,,,
a_Christian_Schmeiser,Q1081744,Q50880350,,homepages/49/5053,1,,,,,,,
a_Christine_Bernardi,Q1083437,,,homepages/73/5630,1,,,,,,,
a_Madan_Lal_Puri,Q1313675,,,homepages/163/1120,1,,,,,,,
a_Emmanuel_Breuillard,Q1338194,,,homepages/133/6511,1,,,,,,,
a_Hans_Meinhardt,Q1347886,,,homepages/51/3045,1,,,,,,,
a_Erich_Peter_Klement,Q1352951,Q63871335,,homepages/66/3320,1,,,,,,,
a_Fran_ccedil_ois_Golse,Q1356590,,,homepages/70/9307,1,,,,,,,
a_Onur_G_uuml_nt_uuml_rk_uuml_n,Q1368298,Q83243886,,homepages/75/4883,1,,,,,,,
